daily_time_spent_on_site,age,area_income,daily_internet_usage,male,city,province,category,time_usage_ratio,age_group,hour,day_of_week,clicked_on_ad
0.8003351605258103,0.2172323949978577,0.600230783810442,-1.1316123827950193,Laki-Laki,Bandung,Jawa Barat,Furniture,2.317825747991813,3.0,3,3,1
0.2816231556208407,-1.1496231240897854,0.3314160559578879,1.2834237988758925,Perempuan,Surabaya,Jawa Timur,Electronic,-0.8201640332622632,1.0,20,6,0
-1.5322659196278101,0.7867555279510423,-1.02513647455789,-1.1677225102393278,Laki-Laki,Medan,Sumatra Utara,Finance,-0.5692340067467019,3.0,0,1,1
0.11619954960664786,-1.4913370038616962,0.6832876313554802,0.6375553168656726,Laki-Laki,Bekasi,Jawa Barat,Furniture,-0.5319007810052101,1.0,7,0,0
-1.2424540207192238,-0.35229073795532695,0.906635862619564,-0.667894353779189,Laki-Laki,Banjarmasin,Kalimantan Selatan,Electronic,-0.7362010287612284,4.0,10,3,1
-1.3411952429137424,0.6728509013604054,0.47562961485175936,-1.0724191991996035,Laki-Laki,Makassar,Sulawesi Selatan,House,-0.43811170687464734,3.0,0,2,1
0.37331143337289385,-0.9218138709085115,1.235429362316603,0.2424008209719456,Perempuan,Bandung,Jawa Barat,Health,-0.00485494959513632,1.0,23,4,0
-1.4514776469232042,2.2675156736293225,-0.9052561479829583,-0.27593948943116064,Perempuan,Jakarta Timur,Daerah Khusus Ibukota Jakarta,Otomotif,-1.263360904618992,2.0,15,2,1
-1.0398421621902123,2.0397064204480486,-0.16801591030576368,-1.0486505077172736,Perempuan,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Furniture,-0.09682320912473319,2.0,17,5,1
-0.49548308658536794,-0.8079092443178746,-1.063763200309736,-1.3827834591323274,Perempuan,Makassar,Sulawesi Selatan,Fashion,1.1113427911464235,0.0,14,5,1
0.9997411352173375,-0.23838611136468998,0.2650562737778293,1.3579295048685789,Perempuan,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Electronic,-0.3687237370461672,4.0,2,4,0
0.4726938323349088,-0.8079092443178746,1.2807300692190502,0.34318921466143915,Laki-Laki,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Travel,-0.009117633294971658,0.0,6,0,0
0.9260058069551969,-1.0357184974991485,0.6722190879794662,0.0716776234979065,Laki-Laki,Bekasi,Jawa Barat,Finance,0.6494396232548615,1.0,10,4,0
-1.353377601496183,-0.010576858183416147,1.0186491279289505,-0.5341954641910862,Laki-Laki,Palembang,Sumatra Selatan,Electronic,-0.9703793709549724,4.0,9,5,1
-0.8667244349660568,1.1284694077229531,0.5824663053984631,-1.2682823588184138,Perempuan,Tangerang Selatan,Banten,Bank,0.42291324858931056,2.0,13,3,1
-0.2723535714964567,-1.946955510224244,-1.1301911152374753,0.11692955535849561,Laki-Laki,Bekasi,Jawa Barat,Health,-0.4623641170574958,1.0,20,4,0
-0.11013584931974803,1.356278660904227,1.108684282897564,-0.9807726099263905,Perempuan,Bekasi,Jawa Barat,Electronic,0.9321799075283205,2.0,1,3,1
0.20852900412619726,-0.9218138709085115,0.7131153912596132,0.5587072537752524,Laki-Laki,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Otomotif,-0.12520703962995955,1.0,15,4,0
0.40537027174773743,-0.6940046177272376,1.2703579939304401,-0.32073433107093546,Perempuan,Jakarta Utara,Daerah Khusus Ibukota Jakarta,Health,0.6038624723200235,0.0,17,1,0
0.7689174989184631,0.44504164817913155,-0.8212772372526398,1.8438164095938894,Perempuan,Depok,Jawa Barat,Health,-0.8028463894762814,3.0,10,1,0
-1.4546835307606885,0.6728509013604054,0.8427985061647553,-0.6708654402144801,Perempuan,Malang,Jawa Timur,Health,-0.964482270528377,3.0,5,3,1
-0.1934888290943412,0.44504164817913155,0.6120972373648514,-1.4643740635476314,Laki-Laki,Padang,Sumatra Barat,Fashion,1.6906339002434638,3.0,20,2,1
-0.7936302834714133,0.5589462747697684,-1.0862220250369234,-1.6227558250596916,Laki-Laki,Makassar,Sulawesi Selatan,House,1.1433788518303314,3.0,8,6,1
0.3341996505555847,-0.5800999911366008,0.11858222172201416,1.6982331742646224,Laki-Laki,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Food,-1.0064211671697054,0.0,14,2,0
-0.39289480378586833,2.1536110470386856,0.06318197052168026,-1.1210993077162972,Laki-Laki,Surakarta,Jawa Tengah,Finance,0.8039107130274405,2.0,8,0,1
0.07067599911437035,-0.12448148477405307,1.0650149767868076,1.4459193723752797,Perempuan,Bogor,Jawa Barat,Finance,-1.053020754849259,4.0,8,4,0
-1.5809953539575723,1.0145647811323162,-1.1525295721104267,-1.0614490339000664,Laki-Laki,Jakarta Barat,Daerah Khusus Ibukota Jakarta,Furniture,-0.7445954164016828,2.0,7,2,1
